Catalog No.,Product,Imported Country,Other Info,Price,Ingredients,Made in,Cruelty_free,Vegan,Ranking_In_Best_Seller_List
1102106887,make p:rem - UV Defense Me. Calming Sun Cream,South Korea,Translation reference for Korean beauty product packaging:,US$18.08,"Water, Zinc Oxide, Cyclohexasiloxane, Butyloctyl Salicylate, Propanediol, Propylheptyl Caprylate, Isododecane, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Caprylyl Methicone, Disiloxane, Moringa oleifera Seed Extract, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Sodium Hyaluronate, Bambusa Vulgaris Water, Ribes Nigrum(Black Currant) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Madecassoside, Fructan, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Biosaccharide Gum-4 Pyrus Communis (Pear) Fruit Extract, Prunus Persica (Peach) Fruit Extract, Cucumis Melo (Melon) Fruit Extract, Hedera helix (Ivy) Leaf/stem Extract, Rosa Damascena Flower Water, Jasminum Officinale (Jasmine) Flower Water, Disteardimonium Hectorite, Magnesium Sulfate, Triethoxycaprylylsilane, 1,2-Hexanediol, Polyglyceryl-2 Dipolyhydroxystearate, Polymethylsilsesquioxane, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Glyceryl Caprylate, Caprylyl Glycol, Ethylhexylglycerin, Tocopherol, Octyldodecanol, Maltodextrin, Butylene Glycol",,,,91
1066570908,3W Clinic - UV Sun Block BB Cream SPF 50+ PA+++,South Korea,,US$13.53,"Water,Cetyl Ethylhexanoate, Titanium Dizxide,Ethylhexyl Mwthoxycinnamate,Zincoxide,Propylene Glycol,Mineral oil , Dimethicone,Cyclopentasiloxane,Sorbitan sesquioleate , Beeswax,CetylPEG/PPG-10/Dimethicone,ButylMethoxydibenzoylmethane, Mangnesiumsulfat,Phenoxyethanol,Mechilparaben,Propylparaben,Polymethyl Methacrylate,Triethoxycaprylylsilane,Hydrolyzed Collagen , Camellia Sinensis Leaf extract,DisodiumEDTA, Fragrance,CI77492 , CI77491,lron black",South Korea,,,92
1099798065,Nivea Japan - Sun Water Gel SPF 35 PA+++ 140g,,,US$18.38,"Water, ethanol, PG, ethylhexyl methoxycinnamate, tri (caprylic acid / capric acid) glyceryl, dimethicone, ethylhexyltriazone, hexyl diethylaminohydroxybenzoyl benzoate, Na carboxymethyl hyaluronate, hydrolyzed hyaluronic acid, quinsseed extract, kihada Bark extract, tocopherol acetate, (Acrylate / alkyl acrylate (C10-30)) crosspolymer, carbomer, ceteth-10, sodium hydroxide, methylparaben",Japan,,,93
1091839037,Bellflower - Watermelon Fresh Sunscreen,South Korea,Translation reference for Korean beauty product packaging:,US$15.55,"Water, Butylene Glycol, Glycerin, C12-15 Alkyl Benzoate, 1,2-Hexanediol, Behenyl Alcohol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Niacinamide, Citrullus Vulgaris (Watermelon) Fruit Extract(11,700 ppm), Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Polymethyl Methacrylate, Silica, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Potassium Cetyl Phosphate, Polyisobutene, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Centella Asiatica Extract, Caprylyl/Capryl Glucoside, Sorbitan Oleate, Adenosine, Disodium EDTA, CI 77491, Sodium Hyaluronate",,,,94
1104105761,ATOPALM - Mellomood Peach Tone Up Sun Cream,South Korea,,US$11.55,"Purified Water, Cyclomethicone, Zinc Oxide, Titanium Dioxide, Dicaprylyl Carbonate, Polypropylsilsesquioxane, Dipropylene Glycol, Butyloctyl Salicylate, Propanediol, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/Sebacate, Niacinamide, Caprylyl Methicone, Sodium Acrylates Crosspolymer-2, Dimethicone/Vinyl Dimethicone Crosspolymer, Prunus Persica (Peach) Flower Extract (10,000ppm), Mentha Viridis (Spearmint) Leaf Oil, Disteardimonium Hectorite, Magnesium Sulfate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Stearic Acid, Aluminum Hydroxide, Triethoxycaprylylsilane, Nylon-12, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, 1,2-Hexanediol, Butylene Glycol, Mica, Glyceryl Caprylate, Caprylyl Glycol, Ethylhexylglycerin, Adenosine, Tocopherol, Myristoyl/Palmitoyl Oxostearamide/Arachamide MEA, 2-Capryloyl Capryloyl Methyl Alaninate, Iron Oxide Red, Iron Oxide Yellow",,,,95
1105364418,Kose - Sekkisei Skincare UV Gel SPF 50+ PA++++ 40g,,,US$21.61,"Water, ethanol, ethylhexyl methoxycinnamate, PG dicaprate, polysilicone-15, hexyl diethylaminohydroxybenzoyl benzoate, BG, bisethylhexyloxyphenol methoxyphenyltriazine, glycerin, dimethicone, saccharomyces / honeybee seed fermented liquid, tenninka fruit extract, Touki root extract, tocopherol, merosria root extract, BHT, EDTA-2Na, PEG-30 phytosterol, PEG-5 phytosterol, (Acrylate / alkyl acrylate (C10-30)) crosspolymer, (dimethicone / phenylvinyldimethicone) crosspolymer , (Vinyl dimethicone / methicone silsesquioxane) Crosspolymer, carbomer, diphenylsiloxyphenyltrimethicone, lysine dilauroyl glutamate, squalane, glyceryl stearate, cetearyl alcohol, zeolite, talc, macadamia nut fatty acid phytosteryl, K hydroxide, Phenoxyethanol, methylparaben, fragrance, mica",Japan,Yes,,96
1105364409,Kose - Sekkisei Skincare UV Tone Up SPF 30 PA+++,,,US$28.58,"Water, zinc oxide, ethanol, DPG, dicapric acid PG, isododecane, dimethicone, diphenylsiloxyphenyltrimethicone, PEG-80 hydrogenated castor oil, glycerin, fatty acid / honeybee seed fermented liquid, white jellyfish extract, tenninka fruit extract, touki root extract , Tocopherol, Melosria root extract, BG, EDTA-2Na, PEG-10 hydrogenated castor oil, (Na acrylate / Acryloyldimethyltaurine Na) copolymer, (Dimethicone / phenylvinyldimethicone) Crosspolymer, Isohexadecane, Sorbitane oleate, Xanthan gum, squalane, cetearyl alcohol, zeolite, talc, isopropyltitanium triisostearate, nylon-12, hydrogen dimethicone, behenyl alcohol, polysorbate 80, polyhydroxystearic acid, macadamia nut fatty acid phytosteryl, hydrogenated rapeseed oil fatty acid glyceriz, methylparaben, fragrance, Gunjo, mica",Japan,Yes,,97
1067531058,KUMANO COSME - Reihaku Hatomugi UV Milky Gel SPF 31 PA+++ 250g,,,US$20.30,"Water, ethanol, ethyl methoxyl methoxycinnamate, BG, DPG, dimethicone, steareth-6, octocrylene, hexyl diethylaminohydroxybenzoylbenzoic acid, carbomer, (acrylate / alkyl acrylate (C10-30)) crosspolymer, mineral oil , Hematode seed extract, squalane, sodium hyaluronate, xanthan gum, EDTA-4 Na, sodium hydroxide, TEA, BHT, phenoxyethanol, methyl paraben, perfume",Japan,,,98
1089050372,su:m37 - Sun-Away Velvet Sun Stick,South Korea,,US$28.18,"Dimethicone, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Polyethylene, Diphenylsiloxy Phenyl Trimethicone, Ethylhexyl Methoxycinnamate, Octocrylene, Hexyl Laurate, Ethylhexyl Salicylate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dicaprylyl Carbonate, Tocopherol, Glycine Soja (Soybean) Oil, Morus Alba Bark Extract, Vinegar, Ophiopogon Japonicus Root Extract, Panax Ginseng Root Extract, Schisandra Chinensis Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Angelica Acutiloba Root Extract, Atractylodes Japonica Rhizome Extract, Avena Sativa (Oat) Kernel Extract, Calendula Officinalis Flower Extract, Nepeta Cataria Extract, Paeonia Lactiflora Root Extract, Paeonia Suffruticosa Root Extract, Plantago Asiatica Extract, Prunus Persica (Peach) Kernel Extract, Rubus Idaeus (Raspberry) Leaf Extract, Scutellaria Baicalensis Root Extract, Baptisia Tinctoria Root Extract, Lactobacillus/Pear Juice Ferment Filtrate, Saccharomyces/Barley Seed Ferment Filtrate, Stellaria Media (Chickweed) Extract, Wine Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Raphanus Sativus (Radish) Root Extract, Lactobacillus/Panax Ginseng Root Ferment Filtrate, Lactobacillus/Soybean Ferment Extract, Lactobacillus/Water Hyacinth Ferment, Monascus/Rice Ferment, Saccharomyces/Grape Ferment Extract, Saccharomyces/Potato Extract Ferment Filtrate, Saccharomyces/Xylinum/Black Tea Ferment, Acer Palmatum Leaf Extract, Acorus Calamus Root Extract, Actinidia Polygama Fruit Extract, Akebia Quinata Extract, Allium Cepa (Onion) Bulb Extract, Allium Sativum (Garlic) Bulb Extract, Anemarrhena Asphodeloides Root Extract, Artemisia Princeps Leaf Extract, Beta Vulgaris (Beet) Root Extract, Citrus Junos Fruit Extract, Brassica Rapa (Turnip) Leaf Extract, Camellia Japonica Leaf Extract, Carica Papaya (Papaya) Fruit Extract, Carthamus Tinctorius (Safflower) Flower Extract, Cassia Obtusifolia Seed Extract, Centella Asiatica Extract, Chaenomeles Sinensis Fruit Extract, Cichorium Intybus (Chicory) Root Extract, Citrus Aurantium Bergamia (Bergamot) Leaf Extract, Citrus Junos Fruit Extract, Citrus Unshiu Peel Extract, Codonopsis Lanceolata Root Extract, Crataegus Cuneata Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Curcuma Longa (Turmeric) Root Extract, Daucus Carota Sativa (Carrot) Root Extract, Diospyros Kaki Fruit Extract, Equisetum Arvense Extract, Eriobotrya Japonica Leaf Extract, Ficus Carica (Fig) Fruit Extract, Geranium Robertianum Extract, Glechoma Hederacea Extract, Grifola Frondosa Fruiting Body Extract, Helianthus Annuus (Sunflower) Seed Extract, Hemerocallis Fulva Flower Extract, Ipomoea Batatas Root Extract, Lentinus Edodes Extract, Lippia Citriodora Leaf Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Lycium Chinense Fruit Extract, Melissa Officinalis Extract, Mentha Piperita (Peppermint) Flower/Leaf/Stem Extract, Morus Bombycis Leaf Extract, Musa Sapientum (Banana) Fruit Extract, Nelumbo Nucifera Root Extract, Ocimum Basilicum (Basil) Leaf Extract, Panicum Miliaceum (Millet) Seed Extract, Perilla Frutescens Leaf Extract, Phaseolus Angularis Seed Extract, Plantago Major Seed Extract, Platycodon Grandiflorus Root Extract, Portulaca Oleracea Extract, Prunus Armeniaca (Apricot) Kernel Extract, Prunus Persica (Peach) Fruit Extract, Prunus Domestica Fruit Extract, Malus Domestica Fruit Extract, Rehmannia Chinensis Root Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Rubus Idaeus (Raspberry) Fruit Extract, Salvia Officinalis (Sage) Leaf Extract, Sasa Veitchii Leaf Extract, Schizonepeta Tenuifolia Extract, Sesamum Indicum (Sesame) Seed Extract, Spinacia Oleracea (Spinach) Leaf Extract, Taraxacum Officinale (Dandelion) Leaf Extract, Thymus Vulgaris (Thyme) Leaf Extract, Trichosanthes Kirilowii Root Extract, Undaria Pinnatifida Extract, Zingiber Officinale (Ginger) Root Extract, Chamomilla Recutita (Matricaria) Flower Extract, Ginkgo Biloba Nut Extract, Houttuynia Cordata Extract, Lactobacillus/Rye Flour Ferment, Lactobacillus/Wasabia Japonica Root Ferment Extract, Diisostearyl Malate, Titanium Dioxide(CI 77891), 1,2-Hexanediol, Quaternium-18 Bentonite, Cedrol, Iron Oxide Red, Purified Water, Butylene Glycol, Citrus Aurantifolia (Lime) Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Piper Nigrum (Pepper) Fruit Oil, Zingiber Officinale (Ginger) Root Oil, Cinnamomum Cassia Leaf Oil, Rosa (Damascena (Rose) Flower Oil, Limonene, Linalool, Geraniol, Citral, Citronellol",South Korea,,,99
1112114457,I'M MEME - Purple Cotton Tone Control Sun Base,South Korea,Translation reference for Korean beauty product packaging:,US$14.14,"Water, Propanediol, Cyclopentasiloxane, Ethylhexyl Salicylate, Homosalate, Dibutyl Adipate, Niacinamide, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol, Polymethylsilsesquioxane, Polysilicone-15, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Caprylyl Methicone, Centella Asiatica Extract, Citrus Aurantium Bergamia (Bergamot) Leaf Extract, Hamamelis Virginiana (Witch Hazel) Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Sodium Hyaluronate, Betula Platyphylla Japonica Sap, 1,2-Hexanediol, Pentylene Glycol, Glycerin, Behenyl Alcohol, Silica, Polyglyceryl-3 Methylglucose Distearate, Tromethamine, Decyl Glucoside, Carbomer, Panthenol, Acrylate/C10-30 Alkyl Acrylate Crosspolymer, Sodium Polyacrylate, Sodium Stearoyl Glutamate, Polyacrylate Crosspolymer-6, Ethylhexylglycerin, Adenosine, Polyether-1, Propylene Glycol, Xanthan Gum, t-Butyl Alcohol, Calamine, Butylene Glycol, Tocopherol, Chlorella Vulgaris Powder, Triethoxycaprylylsilane, Fragrance",,,,100
1088638743,daymellow - Amazon Belief Protection Andirova Sunblock Set,South Korea,,US$14.24,"Water, Homosalate, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Dibutyl Adipate, Dipropylene Glycol, Glycerin, Octocrylene, Carapa Guaianensis Seed Oil, Citrus Aurantium Dulcis (Orange) Peel Oil, 1,2-Hexanediol, Pentylene Glycol, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Hydroxyacetophenone, Isohexadecane, Polysorbate 80, C12-20 Alkyl Glucoside, Acrylates Copolymer, Caprylyl Glycol, Sorbitan Oleate, Ethylhexylglycerin, Kaolin, C14-22 Alcohols, Disodium EDTA, Limonene, Linalool",South Korea,Yes,,101
1057699897,DAYCELL - Dr.VITA Vitamin Sun Cream SPF50+ PA+++ 50g,South Korea,,US$16.67,"Water, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Ethylhexyl Salicylate, Zinc Oxide, PEG-10 Dimethicone, Titanium Dioxide, Glycerin, Niacinamide, Dicaprylyl Carbonate, Disteardimonium Hectorite, Dipropylene Glycol, Echium Plantagineum Seed Oil, Tocopheryl Acetate, Cardiospermum Halicacabum Flower/Leaf/Vine Extract, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Magnesium Sulfate, Dimethicone, Aluminum Hydroxide, Aluminum Stearate, Mica, Methicone, Glyceryl Caprylate, Caprylyl Glycol, Dimethicone/Vinyl Dimethicone Crosspolymer, Polyglyceryl-6 Polyricinoleate, Adenosine, Triethoxycaprylylsilane, Octyldodecanol, Ascorbic Acid, Fragrance, Phenoxyethanol, Iron Oxide Yellow, Iron Oxide Red, Limonene, Linalool, Citral",South Korea,,,102
1088081550,CEZANNE - UV Make Keep Base SPF 28 PA+++,,,US$15.25,"Water, BG, triethylhexanoin, octyldodecyl myristate, polyglyceryl-10 myristate, dimethicone, beeswax, glyceryl stearate, polymethyl methacrylate, behenyl alcohol, sodium stearoyl glutamate, xanthan gum, tocopherol, squalane, phenoxyethanol, bisabolol, tomato extract , Grape leaf extract, sodium hyaluronate, titanium oxide, talc, mica, silica, iron oxide, aluminum hydroxide, sodium alginate",Japan,Yes,,103
1090792468,Meishoku Brilliant Colors - Repair & Balance Skin Care UV Base SPF 49 PA+++,,,US$26.97,"Water, cyclopentasiloxane, dimethicone, ethylhexyl palmitate, zinc oxide, titanium oxide, isononyl isononanoate, BG, PEG-9 polydimethylsiloxyethyl dimethicone, polyglyceryl-2 isostearate, disteardimonium hectrite, tuboxa leaf extract, Baobab seed oil, hydrolyzed baobab extract, wasabi noki seed extract, wasabi noki seed oil, chowji extract, chow leaf oil, eucalyptus leaf oil, ceramide NP, ceramide NG, ceramide AP, sodium hyaluronate, valine, serine, glycine, arginine, asparagin Acid, PCA, alanine, threonine, proline, histidine, phenylalanine, PCA-Na, isoleucine, isomerized sugar, sodium lactate, glycerin, orange peel oil, bergamot fruit oil, lemon fruit oil, lime oil, lemongrass oil, rosemary Leaf oil, lavender oil, mebouki oil, ginger seed oil, bitter orange leaf / branch oil, blue-green algae fruit oil, canary tree resin oil, coriander fruit oil, odoritenjiquaoi oil, diisostearyl malate, polymethylsilsesquioxane, (Dimethicone / (PEG-10 / 15)) Crosspolymer / Pentylene glycol / Al hydroxide / Isos / Aric acid / Na citrate / Na chloride / Phenoxyethanol / Polyhydroxystearic acid / Palmitic acid / (Dimethicone / Meticone) Copolymer・ DPG ・ Carbomer ・ Tocopherol ・ Citric acid ・ Hydrogenated lecithin ・ Soysterol ・ 2Na phosphate",Japan,Yes,,104
1107335214,The Saem - Eco Earth Airy Tone Up Sun Serum,South Korea,,US$14.04,"Water, Dibutyl Adipate, Propanediol, Titanium Dioxide, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Triazone, C12-15 Alkyl Benzoate, Niacinamide, Methyl Trimethicone, Dicaprylyl Carbonate, Caprylic/Capric Triglyceride, Coco-Caprylate/Caprate, Dimethicone/Vinyl Dimethicone Crosspolymer, Diethylhexyl Butamido Triazone, 1,2 Hexanediol, Pentylene Glycol, Epilobium Angustifolium Flower/Leaf/Stem Extract, Brassica Oleracea Italica (Broccoli) Sprout Extract, Brassica Oleracea Gemmifera (Brussels Sprouts) Extract, Brassica Campestris (Rapeseed) Sprout Extract, Helianthus Annuus (Sunflower) Sprout Extract, Lepidium Meyenii Root Extract, Glycerin, Hydroxystearic Acid, Cetyl Alcohol, Sodium Polyacryloyldimethyl Taurate, Alumina, Ammonium Polyacryloyldimethyl Taurate, Dimethiconol, Trisiloxane, Aluminum Stearate, Stearic Acid, Hydroxypropyl Methylcellulose Stearoxy Ether, Ethylhexylglycerin, Silica, Triethoxycaprylylsilane, Butylene Glycol, Polyacrylate Crosspolymer-6, Adenosine, Sodium Polyacrylate, Disodium EDTA, Xanthan Gum, Polyether-1, t-Butyl Alcohol, ethanol, Moringa Oleifera Seed Oil, Tocopherol, Maltodextrin, Hydrolyzed Lupine Protein, Hydrolyzed Vegetable Protein, Fragrance",South Korea,,,105
1077385723,Kose - Salon Style Moist UV Hair Mist Refill 550ml - 3 Types,,,US$27.47,"Water, ethanol, PCANAa, isostearoyl hydrolyzed collagen AMPD, glycine, serine, tocopherol, tocopherol acetate, BG, BHT, (C1214) palace 12, (C1214) palace 3, PEG50 isostearate hydrogenated castor oil, isopropanol, citric acid Glycerin, dimethicone, stealtrimonium chloride, sorbitol, hydroxyethyl cellulose, hydroxypropyl methylcellulose, isopropyl myristate, ethylhexyl methoxycinnamate, methyl paraben, sodium benzoateThis list of ingredients represents all options or variants of this product. Actual ingredients in a given product option may vary from this list.",Japan,Yes,,106
1074998498,THE FACE SHOP - Power Long-Lasting Pink Tone Up Sun Cream,South Korea,,US$19.29,"Purified Water, Ethylhexyl Methoxycinnamate, Isododecane, Dipropylene Glycol, Zinc Oxide, Ethylhexyl Salicylate, Sorbitan Olivate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dicaprylyl Carbonate, Glycerin, Niacinamide, Cyclopentasiloxane, Isohexadecane, Titanium Dioxide, Disteardimonium Hectorite, Titanium Dioxide(CI 77891), Synthetic Fluorphlogopite, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Panthenol, Phenethyl Benzoate, Methyl Methacrylate Crosspolymer, Glyceryl Caprylate, PEG-30 Dipolyhydroxystearate, Aluminum Hydroxide, Stearic Acid, Triethoxycaprylylsilane, Ethylhexylglycerin, Isodecyl Neopentanoate, Magnesium Sulfate, Adenosine, Butylene Glycol, Mica, Tin Oxide, Sodium Palmitoyl Proline, Magnesium Palmitoyl Glutamate, Sodium Palmitoyl Sarcosinate, Diphenylsiloxy Phenyl Trimethicone, Palmitic Acid, Tocopherol, Triethoxysilylethyl Polydimethylsiloxyethyl Hexyl Dimethicone, 1,2-Hexanediol, Avena Sativa (Oat) Kernel Extract, Calendula Officinalis Flower Extract, Nepeta Cataria Extract, Rubus Idaeus (Raspberry) Leaf Extract, Baptisia Tinctoria Root Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Stellaria Media (Chickweed) Extract, Morinda Citrifolia Fruit Extract, Corchorus Olitorius Leaf Extract, Hamamelis Virginiana (Witch Hazel) Extract, Jasminum Officinale (Jasmine) Extract, Iron Oxide Red, Fragrance, Linalool, Hexyl Cinnamal, Limonene, Citronellol, Hydroxycitronellal, Geraniol",South Korea,,,107
1094847880,SKINFOOD - Tomato Tone Up Sun Cream,South Korea,,US$10.91,"Purified Water, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Titanium Dioxide (CI 77891), Dipropylene Glycol, Zinc Oxide (CI 77947), Ethylhexyl Salicylate, Caprylyl Methicone, Butylene Glycol, Cetyl PEG/PPG-10/1 Dimethicone, Sorbitan Isostearate, Solanum Lycopersicum (Tomato) Fruit Extract, Nelumbium Speciosum Flower Extract, Prunus Mume Fruit Extract, Disteardimonium Hectorite, Magnesium Sulfate, Aluminum Hydroxide, Stearic Acid, Caprylyl Glycol, Hydroxyacetophenone, Dimethicone, Triethoxycaprylylsilane, 1,2-Hexanediol, Citric Acid, Glycerin, Lactic Acid, Fragrance",South Korea,,,108
1109791663,SUNGBOON EDITOR - Pink Blossom Brightening Tone Up Sun Base,South Korea,Translation reference for Korean beauty product packaging:,US$30.49,"Water, Cyclopentasiloxane, Ethylhexyl Methoxycinnamate, Phenyl Trimethicone, Titanium Dioxide, Cyclohexasiloxane, 4-Methylbenzylidene Camphor, Cetyl PEG/PPG-10/1 Dimethicone, Zinc Oxide, Glycerin, Niacinamide, Coco-Caprylate/Caprate, Butylene Glycol, Lauryl PEG-8 Dimethicone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Rosa Damascena Flower Water, Stearyl Dimethicone, Magnesium Sulfate, Quaternium-18 Hectorite, 1,2-Hexanediol, Octadecene, Phenoxyethanol, Aluminum Hydroxide, Hydrogen Dimethicone, Triethoxycaprylylsilane, Ethylhexylglycerin, Tocopheryl Acetate, CI 77491, Adenosine, CI 77492, Fragrance, Talc, Sodium Hyaluronate, Tranexamic Acid, Cyclodextrin, Madecassoside, Oenothera Biennis (Evening Primrose) Flower Extract, Ulmus Davidiana Root Extract, Pinus Palustris Leaf Extract, Pueraria Lobata Root Extract, Forsythia Koreana Flower Extract, Camellia Japonica Flower Extract, Prunus Mume Flower Extract, Paeonia Suffruticosa Branch/Flower/Leaf Extract, Magnolia Kobus Flower Extract, Taraxacum Officinale (Dandelion) Flower Extract, Prunus Serrulata Flower Extract, Narcissus Tazetta Extract, Potentilla Fragarioides Extract, Brassica Campestris (Rapeseed) Flower Extract, Plumeria Rubra Flower Extract, Illicium Verum (Anise) Fruit Extract, Caprylyl Glycol",,,,109
1054075388,A'PIEU - Pure Block Aqua Sun Gel SPF50+ PA+++ 50ml,South Korea,,US$11.11,"Water, Alcohol Denat., Ethylhexyl Methoxycinnamate, Octoryylene, Butylene Glycol, Ethylhexyl Salicylate, Butyl Methoxydibenzoylmethane, Dipropylene Glycol, Methyl Methacrylate Crosspolymer, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Dimethicone, Cyclopentasiloxane, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Caprylyl Glycol, Cetyl PEG/PPG-10/1 Dimethicone, Adansonia Digitata Seed Extract, Isahexadecane, Ethylhexylgkycerin, Polysorbate 60, Acrylates /C10-30 Alkyl Acrylate Crosspolymer, Polysorbate 80, Fragrance, Potassium Hydroxide, 1,2-Hexanediol, BHT, Disodium EDTA, Glycerin, Citrullus Lanatus (Watermelon) Fruit Extract, Phenoxyethanol, Saussurea Involucrata Extract, Potassium Sorbate, Hydrolyzed Hyaluronic Acid - Contains Limonene, Linalool, Butylphenyl Methylpropional",South Korea,,,110
1092052818,NEOGEN - Surmedic Azulene Mild UV Tone-Up Sun Primer,South Korea,,US$16.29,"Purified Water, C12-15 Alkyl Benzoate, Titanium Dioxide, Propanediol, Butyloctyl Salicylate, Niacinamide, Caprylyl Methicone, Caprylic/Capric Triglyceride, Polyhydroxystearic Acid, Aluminum Stearate, 1,2-Hexanediol, Pentylene Glycol, Polymethylsilsesquioxane, Guiazulene (1ppm), Alumina, Ammonium Acryloyldimethyltaurate/VP Copolymer, Polyacrylate Crosspolymer-6, Cetyl Hydroxyethylcellulose, Cellulose Gum, Hydroxypropylmethylcellulose, Sodium Stearoyl Glutamate, Butylene Glycol, Stearic Acid, Ethylhexylglycerin, Adenosine, T-Butyl Alcohol, Glycerin, Panthenol, Arbutin, Hydrogenated Lecithin, Cetearyl Alcohol, Bifida Ferment Lysate, Glycyrrhiza Glabra (Licorice) Root Extract, Morus Alba Bark Extract, Centella Extract, Vaccinium Myrtillus Fruit/Leaf Extract, Primula Veris Extract, Prunus Serrulata Flower Extract, Moringa Oleifera Seed Extract, Lavandula Angustifolia Flower Extract, Calendula Officinalis Flower Extract, Calendula Officinalis Flower Extract, Camellia Sinensis Leaf Extract, Portulaca Oleracea Extract, Oryza Sativa (Rice) Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Citrus Limon (Lemon) Fruit Extract, Ceramide NP, Potassium Sorbate, Hydroxypropyl Cyclodextrin, Ceramide NS, Phytosphingosine, Cholesterol, Hyaluronic Acid, Ceramide AS, Ceramide AP, Glutathione, Disodium EDTA, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Ceramide EOP, Ultramarine, Fragrance",South Korea,,,111
1067313195,ROVECTIN - Skin Essentials Double Tone-Up UV Protector,South Korea,,US$26.61,"Water, C12-15 alkyl benzoate, titanium dioxide, butyloctyl salicylate, butylene glycol, polymethylsilsequioxane, glycerin, niacinamide, caprylyl methicone, propanediol, 1, 2-hexanediol, aluminium stearate, polyhydroxystearic acid, caprylic triglyceride, pentylene glycol, lavender oil, echium plantagineum seed oil, cardiospemum halicacabum flower extract, sunflower seed oil, caprylic/capric triglyceride, alumina, ammonium acryloyldimethyltaurate, polyacrylate crosspolymer-6, sodium stearoyl glutamate, hydroxypropyl methylcellulose stearoxy ether, octyldodecanol, panthenol, stearic acid, ethylexylglycerin, adenosine, dicaprylyl carbonate, butyl alchol, triethoxycaprylylsilane, tocopherol, iron oxides",,Yes,,112
1107579605,B.LAB - Matcha Hydrating Real Sun Screen,South Korea,Translation reference for Korean beauty product packaging:,US$8.16,"Water, Dibutyl Adipate, Methylpropanediol, Alcohol Denat., Terephthalylidene Dicamphor Sulfonic Acid, 1,2-Hexanediol, Ethylhexyl Triazone, Glycerin, Niacinamide, Polysilicone-15, Tromethamine, Polyglyceryl-3 Distearate, Caprylyl Methicone, Cetearyl Alcohol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Dipropylene Glycol, Polymethylsilsesquioxane, Palmitic Acid, Stearic Acid, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Glyceryl Stearate, Potassium Cetyl Phosphate, Polyether-1, Carbomer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Glyceryl Stearate Citrate, Caprylic/Capric Triglyceride, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Camellia Sinensis Leaf Water (940 ppm), Ethylhexylglycerin, Adenosine, Butylene Glycol, Menthyl Lactate, Ethyl Menthane Carboxamide, Methyl Diisopropyl Propionamide, Mesembryanthemum Crystallinum Extract, Pentylene Glycol, Caprylyl Glycol",,,,113
