Catalog No.,Product,Imported Country,Other Info,Price,Ingredients,Made in,Cruelty_free,Vegan,Ranking_In_Best_Seller_List
1069644188,SCINIC - Enjoy All Round Airy Sun Stick SPF50+ PA++++ 25g,South Korea,,US$14.14,"Dimethicone, Ceresin, Octocrylene, Silica, Triethylhexanoin, Ethylhexyl Methoxycinnamate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ozokerite, Phenyl Trimethicone, Butylene Glycol Dicaprylate Dicaprate, Ethylhexyl Salicylate, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Candelilla Wax, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Methyl Methacrylate Crosspolymer, Microcrystalline Wax, Sorbitan Caprylate, Dipropylene Glycol, Glycerin, Water, Sorbitan Sesquioleate, Caprylyl Glycol, Hydrogenated Lecithin, Polyglyceryl-10 Oleate, Oil Soluble Licorice(Glycyrrhiza) Extract, Adenosine, Butylene Glycol, Lactobacillus/Soybean Ferment Extract, Origanum Vulgare Leaf Extract, Cinnamomum Cassia Bark Extract, Salix Alba (Willow) Bark Extract, Chamaecyparis Obtusa Leaf Extract, Scutellaria Baicalensis Root Extract, Portulaca Oleracea Extract, Aloe Barbadensis Leaf Extract, Brassica Oleracea Italica (Broccoli) Extract, Citrus Nobilis (Mandarin Orange) Fruit Extract, Camellia Sinensis (Green Tea) Leaf Extract, Propanediol, Ectoin, Argania Spinosa Kernel Oil, Gossypium Herbaceum (Cotton) Seed Oil, Arctium Lappa Seed Oil, Lavandula Angustifolia (Lavender) Oil, Citrus Limon (Lemon) Peel Oil, Citrus Nobilis (Mandarin Orange) Peel Oil",South Korea,,,11
1111620592,Kose - Maihada Skin Moisture UV Essence SPF 35 PA+++,,,US$14.14,"Water, zinc oxide, cetyl ethylhexanoate, ethanol, DPG, fermented rice liquid, hydrogenated polydecene, dimethicone, titanium oxide, PEG-80 hydrogenated castor oil, glycerin, ascorbic acid, aloe vera leaf extract, ectin, saccharomyces / honeybee seeds Fermented liquid, Satozakura flower extract, Shakuyaku flower extract, White jellyfish extract, Na hyaluronate, Lavender oil, Hydrolyzed rice leaf extract, Hydrolyzed rice bran extract, Lactobacillus / Hibiscus flower fermented liquid, BG, EDTA-2Na, PEG-10 Fermentation oil ・ (Na acrylate / Acryloyldimethyltaurine Na) copolymer ・ (Dimethicone / Vinyl dimethicone) Crosspolymer ・ (Vinyl dimethicone / Meticon silsesquioxane) Crosspolymer ・ Isohexadecane ・ Sorbitane oleate ・ Xanthan gum ・ Cetearyl alcohol ・Isopropyltristearate isopropyltitanium, triethoxycaprylylsilane, hydrogendimethicone, behenyl alcohol, polysorbate 80, polyhydroxystearic acid, malic acid, Al hydroxide, hydrogenated rapeseed oil fatty acid glyceriz, phenoxyethanol, methylparaben, mica, iron oxiderice power No. .7 is rice fermented liquor, rice bran enzymatically decomposed extract is hydrolyzed rice bran extract, honeybee fermented liquor is saccharomyces / honeybee seed fermented liquor, rice leaf extract is hydrolyzed rice leaf extract, hibiscus flower fermented extract is lactic acid rod fungus / hibiscus flower fermented extract Lactobacillus / hibiscus flower fermented liquid",Japan,Yes,,12
1104234680,enough project - Sunscreen,South Korea,Translation reference for Korean beauty product packaging:,US$14.14,"Water, Glycerin, Butylene Glycol, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Homosalate, Ethylhexyl Salicylate, Methyl Trimethicone, Butyloctyl Salicylate, Titanium Dioxide (CI 77891), C12-15 Alkyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Polysilicone-15, 1,2-Hexanediol, Silica, Cetearyl Alcohol, Poly C10-30 Alkyl Acrylate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Aluminum Stearate, Alumina, Stearic Acid, Polyhydroxystearic Acid, Fragrance, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glyceryl Stearate, Hydrogenated Lecithin, Glyceryl Caprylate, Propanediol, Tromethamine, Polyglyceryl-3 Methylglucose Distearate, Palmitic Acid, Ethylhexylglycerin, Disodium EDTA, Cichorium Intybus (Chicory) Root Extract, Sorbitan Isostearate, Sodium Hyaluronate, Hyaluronic Acid, Bakuchiol, Beta-Glucan, Caprylyl Glycol, Myristic Acid, Lauric Acid, Tocopherol",,,,13
1109214958,THE FACE SHOP - Power Long-Lasting Sun Cream JUMBO,South Korea,,US$14.14,"Purified Water, Cyclopentasiloxane, Zinc Oxide, Butylene Glycol, Ethylhexyl Methoxycinnamate, PEG-10 Dimethicone, Phenylbenzimidazole Sulfonic Acid, Titanium Dioxide, Tromethamine, Dipropylene Glycol, Hexyldecyl Ethylhexanoate, Panthenol, Cetyl Ethylhexanoate, Disteardimonium Hectorite, 1,2-Hexanediol, Hexyl Laurate, Dimethicone/Vinyl Dimethicone Crosspolymer, Zinc Stearate, Alanyl Glutamine, Sorbitan Sesquiisostearate, Hydrogen Dimethicone, Helianthus Annuus (Sunflower) Sprout Extract, Triethoxycaprylylsilane, Alumina, Mica, Nylon-12, VP/Eicosene Copolymer, Acrylates/Dimethicone Copolymer, Vanilla Tahitensis Fruit Extract, Distearyldimonium Chloride, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Adenosine, Trisodium EDTA, Tocopheryl Acetate, Sodium PCA, Dipotassium Glycyrrhizate, Dimethicone, Iron Oxide Yellow, Iron Oxide Red, Black Oxide of Iron, Sodium Benzoate, Fragrance, Linalool, Hexyl Cinnamal, Limonene, Citronellol, Hydroxycitronellal, Geraniol",South Korea,,,14
1067313175,ROVECTIN - Skin Essentials Aqua Soothing UV Protector,South Korea,,US$14.14,"Water, Cyclohexasiloxane, Zinc Oxide, Titanium Dioxide, Propanediol, Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Dibutyl Adipate, Niacinamide, Caprylyl Methicone, 1,2-Hexanediol, Disteardimonium Hectorite, Sorbitan Sesquioleate, Magnesium Sulfate, Hydrogen Dimethicone, Trehalose, Aluminum Hydroxide, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Stearic Acid, Prunus Amygdalus Amara (Bitter Almond) Kernel Oil, Camellia Sinensis Leaf Extract, Ethylhexylglycerin, Pyrus Malus (Apple) Leaf Extract, Octyldodecanol, Adenosine, Vanilla Planifolia Fruit Extract, Jasminum Officinale (Jasmine) Flower Extract, Echium Plantagineum Seed Oil, Salvia Hispanica Seed Extract, Centella Asiatica Extract, Houttuynia Cordata Extract, Fructooligosaccharides, Saccharide Hydrolysate, Pullulan, Cardiospermum Halicacabum Flower/Leaf Vine Extract, Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables, Biosaccharide Gum-4, Polyglyceryl-2 Dipolyhydroxystearate, Undecane, Tridecane, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil",,Yes,,15
1106272316,Isntree - Hyaluronic Acid Natural Sun Cream,South Korea,Translation reference for Korean beauty product packaging:,US$14.14,"Water, Zinc Oxide, Cyclohexasiloxane, Butyloctyl Salicylate, Propanediol, Propylheptyl Caprylate, Isododecane, Polyglycery1-3 Polydimethylsiloxyethyl Dimethicone, Niacinamide, Caprylyl Methicone, Methyl Methacrylate Crosspolymer, Disteardimonium Hectorite, Magnesium Sulfate, Triethoxycaprylylsilane,1,2-Hexanediol, Polyglyceryl-2 Dipolyhydroxystearate, Lauryl Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone, Glyceryl Caprylate, Caprylyl Glycol, Ethylhexylglycerin, Adenosine, Tocopherol, Sodium Hyaluronate, Betaine, Inositol, Panthenol",,,,16
1074017542,THE FACE SHOP - Power Long-Lasting Sun Cream,South Korea,,US$14.14,"Purified Water, Cyclopentasiloxane, Zinc Oxide, Butylene Glycol, Ethylhexyl Methoxycinnamate, PEG-10 Dimethicone, Phenylbenzimidazole Sulfonic Acid, Titanium Dioxide, Tromethamine, Dipropylene Glycol, Hexyldecyl Ethylhexanoate, Panthenol, Cetyl Ethylhexanoate, Disteardimonium Hectorite, 1,2-Hexanediol, Hexyl Laurate, Dimethicone/Vinyl Dimethicone Crosspolymer, Zinc Stearate, Alanyl Glutamine, Sorbitan Sesquiisostearate, Hydrogen Dimethicone, Helianthus Annuus (Sunflower) Sprout Extract, Triethoxycaprylylsilane, Alumina, Mica, Nylon-12, VP/Eicosene Copolymer, Acrylates/Dimethicone Copolymer, Vanilla Tahitensis Fruit Extract, Distearyldimonium Chloride, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Adenosine, Trisodium EDTA, Tocopheryl Acetate, Sodium PCA, Dipotassium Glycyrrhizate, Dimethicone, Iron Oxide Yellow, Iron Oxide Red, Black Oxide of Iron, Sodium Benzoate, Fragrance, Linalool, Hexyl Cinnamal, Limonene, Citronellol, Hydroxycitronellal, Geraniol",South Korea,,,17
1108842815,Paul & Joe - Sunprotection Body Primer Shimmer SPF 30 PA+++,,,US$14.14,"Water, BG, ethylhexyl methoxycinnamate, mica, isotridecyl isononanoate, ethanol, polysilicone-15, diethylaminohydroxybenzoyl hexyl benzoate, (vinyl dimethicone / methiconylsesquioxane) crosspolymer, titanium oxide, glycerin, stearic acid, Bisethylhexyloxyphenol methoxyphenyltriazine, Argania spinosa kernel oil, olive fruit oil, sphaceraria scoparia extract, pancratium maritimum extract, BHT, PEG-10 hydrogenated castor oil, PEG-60 hydrogenated castor oil, TEA, (Na Acrylic Acid / Acryloyldimethyltaurine Na) Copolymer ・ (Acrylate / Alkyl Acrylate (C10-30)) Crosspolymer ・ Isohexadecane ・ Sorbitane oleate ・ Xanthan gum ・ Silica ・ Dimethicone ・ Stearyldimethicone ・ Glyceryl steayl ・ Cetearyl alcohol・ Triethoxycaprylylsilane ・ Triceteares-4 phosphate ・ Behenyl alcohol ・ Polysorbate 80 ・ Recitin ・ Al hydroxide ・ Hydrogenated rapeseed oil Fatty acid Glyceriz ・ Phenoxyethanol ・ Fragrance ・ Iron oxide",Japan,,,18
1105364414,Kose - Sekkisei Skincare UV Milk SPF 50+ PA++++ 60g,,,US$14.14,"Water, cyclomethicone, zinc oxide, ethanol, ethylhexyl methoxycinnamate, alkyl benzoate (C12-15), isododecane, (HDI / PPG / polycaprolactone) crosspolymer, tripropylene glycol, diethylaminohydroxybenzoyl hexyl benzoate, bisethylhexyl Oxyphenol methoxyphenyl triazine, saccharomyces / honeybee seed fermented liquid, tenninka fruit extract, touki root extract, tocopherol, merosria root extract, BG, BHT, isostearic acid, silica, squalane, zeolite, talc, hydrogen dimethicone, macadamia nut fatty acid phytosteryl, hydrous Silica, fragrance, mica",Japan,Yes,,19
1075257335,TONYMOLY - UV Master All In One Sun,South Korea,,US$14.14,"Water, Ethylhexyl Methoxycinnamate, Glycerin, Titanium Dioxide, Cyclopentasiloxane, 4-Methylbenzylidene Camphor, Ethylhexyl Ethylhexanoate, Butyl Methoxydibenzoylmethane, Caprylic/Capric Triglyceride, Ethylhexyl Salicylate, Octocrylene, Cyclohexasiloxane, Silica, Cetearyl Alcohol, Triceteareth-4 Phosphate, Glyceryl Stearate, PEG-100 Stearate, Polysorbate 80, PEG-2 Stearate, Glycol Stearate, Sorbitan Sesquioleate, Hydroxyacetophenone, Potassium Cetyl Phosphate, Carbomer, Tromethamine, Sodium Stearoyl Glutamate, Dimethicone, Ethylhexylglycerin, Disodium EDTA, Iron Oxide (CI 77491), Opuntia Coccinellifera Flower Extract, Butylene Glycol, Dipropylene Glycol, Octyldodecanol, Sodium Palmitoyl Proline, Camellia Sinensis Leaf Extract, Aloe Barbadensis Leaf Extract), Bambusa Vulgaris Extract, Chamaecyparis Obtusa Water, Sodium Polyacrylate, Steareth-20, 1,2-Hexanediol, Lecithin, Phenoxyethanol, Nymphaea Alba Flower Extract, Sodium Ascorbyl Phosphate, Tocopheryl Acetate, Glyceryl Arachidonate, Glyceryl Linolenate, Retinyl Palmitate, Benzyl Salicylate , Geraniol, Hexyl Cinnamal , Butylphenyl Methylpropional, Limonene, Linalool, Fragrance",South Korea,,,20
